id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,timestamp
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,1.94,112968969605,4,193828428641,5121713530.0,1.96,1.83,0.084617,4.55879,4745175864.0,4.3846,58274974538.0,99986277500.0,100000000000.0,3.28,-41.13678,2025-01-16T17:00:22.630Z,0.00194619,99249.59657,2013-08-16T00:00:00.000Z,,2025-04-04T20:28:17.063Z,2025-04-04 13:28:20.450029
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,545.74,79528398579,5,79528398579,696223025.0,547.7,528.74,13.61,2.55856,1752870393.0,2.25376,145887575.79,145887575.79,200000000.0,751.34,-27.66715,2024-12-04T10:35:25.220Z,0.03359941,1617386.70656,2017-10-19T00:00:00.000Z,,2025-04-04T20:28:17.885Z,2025-04-04 13:28:20.450029
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,112.04,57550016601,6,66861310998,5515489740.0,112.58,102.92,7.59,7.26645,3792640062.0,7.05511,514449911.529926,597685240.7612484,,285.6,-60.94549,2025-01-19T11:15:27.957Z,0.46316,23982.39055,2020-05-11T19:35:23.449Z,,2025-04-04T20:28:17.009Z,2025-04-04 13:28:20.450029
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.91414,55479102423,7,55517438762,8897252317.0,0.91494,0.900326,0.00772619,0.85239,341343875.0,0.61907,60691568514.55579,60733506693.28579,,14.76,-93.81386,2025-01-23T04:45:51.184Z,0.730265,25.03041,2021-05-19T13:14:05.611Z,,2025-04-04T20:28:11.035Z,2025-04-04 13:28:20.450029
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.154732,22979884731,8,22981961693,1531825245.0,0.156826,0.143268,0.01146316,8.00118,1596301955.0,7.46508,148702566383.7052,148716006383.7052,,0.601466,-74.38824,2021-05-08T05:08:23.458Z,7.662e-05,200961.35932,2015-05-06T00:00:00.000Z,,2025-04-04T20:28:18.428Z,2025-04-04 13:28:20.450029
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.602213,21660764489,9,27078996254,863785124.0,0.607553,0.569161,0.02261489,3.90183,767054484.0,3.67122,35995957636.81128,45000000000.0,45000000000.0,2.61,-76.96986,2021-09-02T06:00:10.474Z,0.01722339,3385.47171,2020-03-13T02:22:55.044Z,,2025-04-04T20:28:16.698Z,2025-04-04 13:28:20.450029
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.219109,20790519873,10,20790525079,552314862.0,0.221125,0.213321,0.0057882,2.71337,485864985.0,2.39287,94979869949.31204,94979893729.20947,,0.410308,-46.82184,2024-12-04T00:10:40.323Z,0.00154713,14003.21349,2017-11-12T00:00:00.000Z,"{'times': 125.13802709446958, 'currency': 'usd', 'percentage': 12513.802709446958}",2025-04-04T20:28:19.581Z,2025-04-04 13:28:20.450029
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,76576.0,1517950065606,1,1517950065606,43895578979.0,77146.0,73966.0,2448.76,3.30347,42616298227.0,2.88859,19846656.0,19846656.0,21000000.0,105495.0,-27.71633,2025-01-20T07:16:25.271Z,51.3,148551.25173,2013-07-05T00:00:00.000Z,,2025-04-04T20:28:18.434Z,2025-04-04 13:28:23.038384
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,1653.71,199418310478,2,199418310478,18020144203.0,1667.59,1599.15,39.34,2.4368,3973399134.0,2.033,120666956.0999141,120666956.0999141,,4228.93,-61.03856,2021-12-01T08:38:24.623Z,0.381455,431838.30244,2015-10-20T00:00:00.000Z,"{'times': 27.884358527097763, 'currency': 'btc', 'percentage': 2788.435852709776}",2025-04-04T20:28:21.493Z,2025-04-04 13:28:23.038384
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.913824,131671840907,3,131671840907,64316476673.0,0.914618,0.900041,0.00777123,0.8577,912717824.0,0.69801,144086679997.8651,144086679997.8651,,1.17,-21.70571,2025-01-25T16:51:57.989Z,0.533096,71.21003,2015-03-02T00:00:00.000Z,,2025-04-04T20:28:18.528Z,2025-04-04 13:28:23.038384
